"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"8","Local Bus","Harbor Point - Kenmore Station","Washington St opp Ruggles St","1",42.330957,-71.082754
"19","Local Bus","Fields Corner Station - Kenmore or Ruggles Station","Washington St opp Ruggles St","1",42.330957,-71.082754
"171","Supplemental Bus","Logan Airport Terminals - Nubian Station","Washington St opp Ruggles St","1",42.330957,-71.082754
"15","Key Bus","Fields Corner Station or Kane Square - Ruggles Station","Washington St opp Ruggles St","1",42.330957,-71.082754
"1","Key Bus","Harvard Square - Nubian Station","Washington St opp Ruggles St","1",42.330957,-71.082754
"47","Local Bus","Central Square, Cambridge - Broadway Station","Washington St opp Ruggles St","1",42.330957,-71.082754
"8","Local Bus","Harbor Point - Kenmore Station","Theo Glynn Way @ Newmarket Sq","10",42.330555,-71.068787
"171","Supplemental Bus","Logan Airport Terminals - Nubian Station","Theo Glynn Way @ Newmarket Sq","10",42.330555,-71.068787
"10","Local Bus","City Point - Copley Square","Theo Glynn Way @ Newmarket Sq","10",42.330555,-71.068787
"9","Local Bus","City Point - Copley Station","Theo Glynn Way @ Newmarket Sq","10",42.330555,-71.068787
"57","Key Bus","Watertown Yard - Kenmore Station","Tremont St opp Temple Pl","10000",42.355692,-71.062911
"43","Local Bus","Ruggles  Station - Park Street Station","Tremont St opp Temple Pl","10000",42.355692,-71.062911
"15","Key Bus","Fields Corner Station or Kane Square - Ruggles Station","Tremont St opp Temple Pl","10000",42.355692,-71.062911
"39","Key Bus","Forest Hills Station - Back Bay Station","Tremont St opp Temple Pl","10000",42.355692,-71.062911
"1","Key Bus","Harvard Square - Nubian Station","Albany St opp Randall St","10003",42.331591,-71.076237
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St opp Randall St","10003",42.331591,-71.076237
"8","Local Bus","Harbor Point - Kenmore Station","Albany St opp E Concord St","10005",42.335017,-71.07128
"10","Local Bus","City Point - Copley Square","Albany St opp E Concord St","10005",42.335017,-71.07128
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St opp E Concord St","10005",42.335017,-71.07128
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St opp E Newton St","10006",42.335814,-71.070135
"47","Local Bus","Central Square, Cambridge - Broadway Station","540 Albany St opp Wareham St","10007",42.338372,-71.066556
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St opp Randolph St","10008",42.339915,-71.064356
"222","Local Bus","East Weymouth - Quincy Center Station","High St @ Duck Lane","10009",42.214986,-70.915924
"51","Local Bus","Reservoir Station - Forest Hills Station","Newton St @ Arlington Rd","1001",42.307661,-71.169522
"8","Local Bus","Harbor Point - Kenmore Station","Southampton St @ Newmarket St","10010",42.330944,-71.064621
"171","Supplemental Bus","Logan Airport Terminals - Nubian Station","Southampton St @ Newmarket St","10010",42.330944,-71.064621
"10","Local Bus","City Point - Copley Square","Southampton St @ Newmarket St","10010",42.330944,-71.064621
"9","Local Bus","City Point - Copley Station","Southampton St @ Newmarket St","10010",42.330944,-71.064621
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St @ Randolph St","10011",42.340162,-71.064227
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St @ Wareham St","10012",42.338361,-71.066667
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St @ E Dedham St","10013",42.337556,-71.067875
"708","Local Bus","Beth Israel Deaconess Hospital - Andrew Station","Albany St opp Boston Medical","10014",42.334117,-71.07251
"8","Local Bus","Harbor Point - Kenmore Station","Albany St opp Boston Medical","10014",42.334117,-71.07251
"10","Local Bus","City Point - Copley Square","Albany St opp Boston Medical","10014",42.334117,-71.07251
"47","Local Bus","Central Square, Cambridge - Broadway Station","Albany St opp Boston Medical","10014",42.334117,-71.07251
"8","Local Bus","Harbor Point - Kenmore Station","Harrison Ave @ E Newton St","10015",42.337402,-71.072162
"10","Local Bus","City Point - Copley Square","Harrison Ave @ E Newton St","10015",42.337402,-71.072162
"47","Local Bus","Central Square, Cambridge - Broadway Station","Harrison Ave @ E Newton St","10015",42.337402,-71.072162
"134","Local Bus","North Woburn - Wellington Station","TradeCenter 128","10016",42.499312,-71.162566
"9","Local Bus","City Point - Copley Station","E 1st St @ P St","10031",42.338307,-71.027132
"7","Local Bus","City Point - Otis Street & Summer Street","E 1st St @ P St","10031",42.338307,-71.027132
